Date,Open,High,Low,Close
04/03/2023,"82.18","82.48","82.09","82.17"
03/31/2023,"82.10","82.31","82.05","82.18"
03/30/2023,"82.26","82.28","82.03","82.11"
03/29/2023,"82.19","82.37","82.16","82.26"
03/28/2023,"82.21","82.38","82.09","82.18"
03/27/2023,"82.34","82.44","82.16","82.21"
03/24/2023,"82.25","82.52","82.20","82.34"
03/23/2023,"82.63","82.63","82.04","82.25"
03/22/2023,"82.70","82.89","82.38","82.52"
03/21/2023,"82.52","82.76","82.52","82.70"
03/20/2023,"82.53","82.72","82.47","82.53"
03/17/2023,"82.61","82.87","82.44","82.53"
03/16/2023,"82.72","82.94","82.56","82.61"
03/15/2023,"82.30","82.93","82.21","82.72"
03/14/2023,"82.41","82.50","82.25","82.30"
03/13/2023,"82.02","82.42","81.66","82.41"
03/10/2023,"82.04","82.24","81.82","82.02"
03/09/2023,"81.97","82.09","81.80","82.04"
03/08/2023,"82.08","82.31","81.86","81.97"
03/07/2023,"81.83","82.08","81.74","82.08"
03/06/2023,"81.72","81.97","81.65","81.84"
03/03/2023,"82.35","82.58","81.65","81.72"
03/02/2023,"82.42","82.66","82.30","82.35"
03/01/2023,"82.63","82.88","82.37","82.44"
02/28/2023,"82.65","82.74","82.55","82.63"
02/27/2023,"82.93","83.08","82.63","82.65"
02/24/2023,"82.63","83.03","82.62","82.93"
02/23/2023,"82.95","82.95","82.56","82.63"
02/22/2023,"82.85","83.00","82.79","82.95"
02/21/2023,"82.71","82.92","82.69","82.85"
02/20/2023,"82.82","82.84","82.64","82.71"
02/17/2023,"82.65","82.88","82.65","82.86"
02/16/2023,"82.74","82.91","82.63","82.65"
02/15/2023,"82.89","83.02","82.76","82.77"
02/14/2023,"82.61","83.05","82.58","82.89"
02/13/2023,"82.49","82.76","82.49","82.61"
02/10/2023,"82.53","82.66","82.39","82.49"
02/09/2023,"82.66","82.72","82.40","82.54"
02/08/2023,"82.74","82.88","82.50","82.67"
02/07/2023,"82.75","82.94","82.62","82.74"
02/06/2023,"82.49","82.85","82.23","82.75"
02/03/2023,"82.05","82.54","81.78","82.49"
02/02/2023,"81.73","82.23","81.68","82.05"
02/01/2023,"81.77","82.04","81.50","81.73"
