Sr.,Stock Name,Symbol,Links,% Chg,Price,Volume
299,Tata Motors Limited,TATAMOTORS,P&F | F.A,6%,445.6,"6,33,60,467"
38,Bajaj Auto Limited,BAJAJ-AUTO,P&F | F.A,5.9%,3936.75,"23,75,899"
74,Supreme Industries Limited,SUPREMEIND,P&F | F.A,5%,2538.95,"5,13,556"
276,Bombay Super Hybrid Seeds Ltd,BSHSL,P&F | F.A,5%,496.9,"3,89,298"
71,Aia Engineering Limited,AIAENG,P&F | F.A,5%,2598.75,"2,56,372"
165,Kajaria Ceramics Limited,KAJARIACER,P&F | F.A,5%,1097.55,"1,33,180"
390,Tata Motors Limited,TATAMTRDVR,P&F | F.A,5%,225.15,"1,03,89,307"
108,Pvr Limited,PVR,P&F | F.A,5%,1739.8,"11,50,354"
302,Emami Limited,EMAMILTD,P&F | F.A,5%,439.4,"4,14,802"
294,Max Healthcare Institute Ltd,MAXHEALTH,P&F | F.A,4%,454.6,"26,65,309"
65,Tube Investments of India Ltd,TIINDIA,P&F | F.A,4%,2665.75,"2,36,919"
17,Bajaj Holdings & Investment Limited,BAJAJHLDNG,P&F | F.A,3%,5905,"30,246"
201,Ttk Prestige Limited,TTKPRESTIG,P&F | F.A,2.8%,802.8,"14,39,137"
31,Dr. Reddy's Laboratories Limited,DRREDDY,P&F | F.A,3%,4314,"9,56,288"
249,Amara Raja Batteries Limited,AMARAJABAT,P&F | F.A,3%,579.55,"15,00,475"
233,Medplus Health Services Ltd,MEDPLUS,P&F | F.A,3%,632.25,"70,783"
62,V-mart Retail Limited,VMART,P&F | F.A,2%,2727.95,"25,103"
51,Crisil Limited,CRISIL,P&F | F.A,2%,3035.35,"64,947"
246,Cholamandalam Financial Holdings Ltd,CHOLAHLDNG,P&F | F.A,2%,590.9,"25,217"
418,Ashok Leyland Limited,ASHOKLEY,P&F | F.A,2%,149.35,"2,08,98,737"
339,Itc Limited,ITC,P&F | F.A,2%,346,"2,10,40,139"
272,Inox Leisure Limited,INOXLEISUR,P&F | F.A,2%,503.15,"5,13,995"
124,Endurance Technologies Limited,ENDURANCE,P&F | F.A,1.8%,1476.5,"33,282"
157,Vedant Fashions Ltd,MANYAVAR,P&F | F.A,2%,1158.85,"39,039"
465,Mangalore Refinery And Petrochemicals Limited,MRPL,P&F | F.A,2%,57.85,"48,66,880"
43,Divi's Laboratories Limited,DIVISLAB,P&F | F.A,2%,3387.45,"3,26,612"
114,Kei Industries Limited,KEI,P&F | F.A,1%,1573.2,"3,32,045"
25,Bayer Cropscience Limited,BAYERCROP,P&F | F.A,1%,4497.4,"4,927"
177,Symphony Limited,SYMPHONY,P&F | F.A,1%,947.05,"16,241"
383,Oil India Limited,OIL,P&F | F.A,1.4%,239.1,"9,53,122"
91,Jb Chemicals & Pharmaceuticals Limited,JBCHEPHARM,P&F | F.A,1%,2031.45,"89,232"
167,Radico Khaitan Limited,RADICO,P&F | F.A,1%,1064.15,"2,68,372"
259,Natco Pharma Limited,NATCOPHARM,P&F | F.A,1%,535.45,"1,16,883"
41,Avenue Supermarts,DMART,P&F | F.A,1%,3562.35,"3,08,090"
368,Triveni Engineering & Industries Limited,TRIVENI,P&F | F.A,1%,276.8,"6,24,713"
168,Tvs Motor Company Limited,TVSMOTOR,P&F | F.A,1%,1050.8,"36,29,172"
170,Cipla Limited,CIPLA,P&F | F.A,1%,1047.25,"29,47,920"
310,Indraprastha Gas Limited,IGL,P&F | F.A,1%,417.9,"20,08,195"
374,Orient Electric Ltd,ORIENTELEC,P&F | F.A,1%,264.95,"2,02,038"
332,Dlf Limited,DLF,P&F | F.A,1%,355.95,"54,22,141"
49,Timken India Limited,TIMKEN,P&F | F.A,1%,3073.8,"21,448"
135,Gland Pharma Ltd,GLAND,P&F | F.A,1%,1356.5,"12,32,427"
15,Tata Elxsi Limited,TATAELXSI,P&F | F.A,1%,6664.35,"3,05,450"
148,Sheela Foam Limited,SFL,P&F | F.A,1%,1232.05,"19,047"
188,Poly Medicure Limited,POLYMED,P&F | F.A,1%,871.45,"12,783"
367,Fortis Healthcare Limited,FORTIS,P&F | F.A,1%,280.65,"5,67,891"
208,Capri Global Capital Limited,CGCL,P&F | F.A,1%,758.25,"1,18,825"
242,Prince Pipes & Fittings Ltd,PRINCEPIPE,P&F | F.A,1%,603.7,"1,33,796"
318,Campus Activewear Ltd,CAMPUS,P&F | F.A,1%,395.45,"5,97,427"
34,Solar Industries India Limited,SOLARINDS,P&F | F.A,1%,4104.2,"61,703"
210,Upl Limited,UPL,P&F | F.A,1%,744.7,"49,03,817"
305,Zydus Lifesciences Ltd,ZYDUSLIFE,P&F | F.A,1%,430.3,"13,07,641"
190,Cyient Limited,CYIENT,P&F | F.A,1%,856.2,"2,62,283"
235,Eris Lifesciences,ERIS,P&F | F.A,1%,629.25,"73,746"
268,K.p.r. Mill Limited,KPRMILL,P&F | F.A,1%,516.4,"1,54,253"
470,Motherson Sumi Wiring India Ltd,MSUMI,P&F | F.A,1%,51.2,"1,33,69,269"
136,Mahindra & Mahindra Limited,M&M,P&F | F.A,1%,1320.2,"19,14,769"
79,Computer Age Management Services Ltd,CAMS,P&F | F.A,1%,2293.65,"2,79,897"
278,Century Plyboards (india) Limited,CENTURYPLY,P&F | F.A,1%,492.75,"96,396"
279,Suven Pharmaceuticals Ltd,SUVENPHAR,P&F | F.A,1%,492.1,"1,38,217"
403,Exide Industries Limited,EXIDEIND,P&F | F.A,1%,183.2,"28,67,121"
67,Gujarat Fluorochemicals Ltd,FLUOROCHEM,P&F | F.A,1%,2624.2,"1,09,484"
94,Ratnamani Metals & Tubes Limited,RATNAMANI,P&F | F.A,1%,1999.8,"9,174"
